,Day,Week,Period,LogBook,Topic,Images,Links
1,4/02/2026,Week 2,Period 2,Brainstorming problem statement for SAT project. Identified the 'Panic Gap' issue in school workshops and established project constraints.,Design Brief,"Image 1.1, Image 1.2",
2,9/02/2026,Week 3,Period 1,Finalizing the requirements and considerations. Decided on a dual-microcontroller architecture (Pi + Arduino) to hit the complexity constraint.,Requirements,"Image 1.3, Image 1.4",
3,12/02/2026,Week 3,Period 4,"Researching existing solutions like wall kits, vending spirals, and smart pill dispensers to inform my design.",Inspiration & Research,"Image 2.1, Image 2.2, Image 2.3",https://www.instructables.com/DIY-Vending-Machine-1/
4,18/02/2026,Week 4,Period 2,Literature review on UART serial communication and Rack & Pinion kinematics for linear dispensing.,Literature Review,"Image 2.5, Image 2.6",https://www.linearmotiontips.com/how-do-rack-and-pinion-drives-work/
5,23/02/2026,Week 5,Period 1,Brainstorming and writing up alternative design options (Option 2: Voice Carousel & Option 3: RFID Solenoid).,Design Options,"Image 2.8, Image 2.9",https://wiki.dfrobot.com/sku_sen0539-en_gravity_voice_recognition_module_i2c_uart
6,26/02/2026,Week 5,Period 4,Fleshing out the preferred option (AI Rack & Pinion) and comparing all 3 options in a selection matrix.,Preferred Design Selection,Image 2.7,
7,4/03/2026,Week 6,Period 2,"Starting Fusion 360 CAD for the 3D printed smart cartridge. Set up user parameters for width, height, and tolerances.",CAD Modelling,Image 2.11,
8,9/03/2026,Week 7,Period 1,"Finished CAD modeling of the rack, pinion, pusher sled, and the exterior 6mm plywood chassis with the 45-degree ramp.",CAD Modelling,Image 2.7,
9,12/03/2026,Week 7,Period 4,"Designing the electronic control system and deciding on exact components (Raspberry Pi 4, Arduino Uno, FS90R Servos).",Control System Design,Image 2.12,https://roboticsbackend.com/raspberry-pi-arduino-serial-communication/
10,18/03/2026,Week 8,Period 2,"Creating the IPO Block Diagram, pseudocode flowchart, and completing the Risk Assessment for tools and equipment.",System Modelling & Risk Assessment,"Image 1.5, Image 3.3",
11,23/03/2026,Week 9,Period 1,"Finalizing materials list, costing spreadsheet ($322.25 total), and developing the estimated vs actual Gantt chart timeline.",Work Plan & Budget,Image 3.1,
12,26/03/2026,Week 9,Period 4,"Final review of the SAT Part A Folio. Updated the executive summary, evaluated factors, and created the visual evidence checklist.",Folio Documentation,,
13,15/04/2026,Week 1,Period 2,Term 2 starts. Began setting up the Raspberry Pi 4. Installed Raspberry Pi OS (Linux).,Software Development,,
14,20/04/2026,Week 2,Period 1,Encountered major issues connecting the Raspberry Pi to the school's Wi-Fi network due to restrictive enterprise firewall (802.1x EAP).,Debugging & Networking,,
15,23/04/2026,Week 2,Period 4,Still troubleshooting Pi network issues. Attempted MAC address spoofing and installing custom CA certificates for the school network.,Debugging & Networking,,
16,29/04/2026,Week 3,Period 2,Finally resolved Pi network issue by bridging the connection through my laptop's mobile hotspot for initial package downloads.,Debugging & Networking,,
17,4/05/2026,Week 4,Period 1,"Began Python development on the Pi. Installed required libraries (pyserial, requests) for the Gemini API and Arduino communication.",Software Development,,
18,7/05/2026,Week 4,Period 4,Began electronics setup. Soldered header pins to the Arduino Uno and wired the FS90R servo and limit switch to a breadboard.,Electronics Assembly,,
19,13/05/2026,Week 5,Period 2,Wrote initial C++ test script for the Arduino. Successfully spun the servo and stopped it using the limit switch interrupt.,Software Development,,
20,18/05/2026,Week 6,Period 1,Successfully established UART serial communication between the Pi and Arduino. Sent a string from Python and read it in C++.,System Integration,,
21,21/05/2026,Week 6,Period 4,Drafting the Gemini API prompt. Testing how to force the AI to return a strict '010' binary format instead of conversational text.,Software Development,,
22,27/05/2026,Week 7,Period 2,Connected the USB microphone to the Pi. Testing audio capture and saving to .wav files using Python.,Software Development,,
23,1/06/2026,Week 8,Period 1,Integrating the audio capture with the Gemini API script. Successfully sent a recorded voice file to the API and received a response.,Software Development,,
24,4/06/2026,Week 8,Period 4,"Combined the AI Python script with the Serial output script. The Pi now listens, processes via AI, and commands the Arduino automatically.",System Integration,,
